











































-0.312456,-0.214189,2.88801,2,-0.332132,-0.162029,2.85259,2,-0.349979,-0.110287,2.80581,2,-0.367693,0.0343959,2.76995,2,-0.519078,-0.19105,2.77637,2,-0.611592,-0.286019,2.64413,2,-0.614304,-0.408606,2.58558,2,-0.611418,-0.374579,2.29805,2,-0.199631,-0.181856,2.81423,2,-0.0875568,-0.246543,2.75832,2,0.0166466,-0.315061,2.61894,2,0.04083,-0.383414,2.39993,2,-0.38143,-0.213726,2.8465,2,-0.682173,-0.30534,2.62542,2,-0.455326,-0.429417,2.42548,1,-0.323041,-0.413699,2.39012,2,-0.236029,-0.209544,2.86064,2,-0.684963,-0.284905,2.67433,2,-0.24893,-0.283514,2.68031,2,-0.155698,-0.312705,2.5642,2,-0.345844,-0.1232,2.81971,2,-0.616477,-0.37984,2.27436,2,-0.549371,-0.380518,2.28308,2,0.03895,-0.394176,2.37559,2,-0.00733044,-0.394908,2.37931,2,
-0.316097,-0.626153,2.96344,2,-0.33095,-0.385733,2.88157,2,-0.34516,-0.140234,2.79104,2,-0.364816,0.00990783,2.7481,2,-0.50219,-0.270897,2.7631,2,-0.604,-0.29206,2.64537,2,-0.606203,-0.354512,2.45929,2,-0.610386,-0.408053,2.29251,2,-0.194516,-0.186868,2.80589,2,-0.0506831,-0.29013,2.7248,2,0.0285589,-0.365134,2.56254,2,0.0373964,-0.421451,2.39049,2,-0.383235,-0.636665,2.92193,2,-0.659017,-0.396547,2.58879,2,-0.491577,-0.410931,2.31222,2,-0.601074,-0.407471,2.27734,2,-0.242246,-0.602346,2.94203,2,-0.59616,-0.383545,2.68203,2,-0.165654,-0.379633,2.69139,1,-0.0892467,-0.389688,2.55294,1,-0.341088,-0.207025,2.81371,2,-0.633577,-0.43088,2.26453,2,-0.545823,-0.414806,2.27542,2,0.028154,-0.426998,2.36122,2,0.107595,-0.427489,2.38562,2,
-0.482073,-0.531673,3.02048,2,-0.401826,-0.339411,2.90253,2,-0.33121,-0.145095,2.78004,2,-0.358964,-0.0106899,2.72666,2,-0.492213,-0.233922,2.75739,2,-0.607238,-0.33547,2.62095,2,-0.639755,-0.416825,2.42123,2,-0.610984,-0.44458,2.28302,2,-0.200792,-0.184134,2.79711,2,-0.0396492,-0.300933,2.70694,2,0.0384717,-0.389984,2.55752,2,0.036701,-0.460658,2.37904,2,-0.548727,-0.538453,2.98448,2,-0.643768,-0.386558,2.59489,2,-0.649846,-0.502931,2.32063,1,-0.57866,-0.430556,2.26506,2,-0.40589,-0.514393,2.99683,2,-0.436831,-0.292872,2.66211,1,-0.0545182,-0.386792,2.60892,2,-0.00232749,-0.419749,2.46671,2,-0.340851,-0.204542,2.80996,2,-0.593288,-0.46759,2.25863,2,-0.544158,-0.449415,2.27186,2,0.0242688,-0.470366,2.34809,2,0.109098,-0.468084,2.38133,2,
-0.583497,-0.540606,2.93565,2,-0.452827,-0.374986,2.85511,2,-0.322419,-0.210516,2.76416,2,-0.353112,-0.0621359,2.71209,2,-0.53411,-0.286396,2.73353,2,-0.604373,-0.422325,2.57636,2,-0.631256,-0.456098,2.38726,2,-0.609212,-0.482672,2.27647,2,-0.188217,-0.245872,2.76944,2,-0.0916532,-0.335883,2.6614,2,0.0013882,-0.412739,2.54454,2,0.0357093,-0.502872,2.37344,2,-0.648063,-0.543556,2.90194,2,-0.64268,-0.393832,2.58319,2,-0.656413,-0.509716,2.32104,2,-0.57583,-0.465515,2.25314,2,-0.5076,-0.527167,2.9124,2,-0.438553,-0.294882,2.65788,1,-0.0771278,-0.40315,2.59343,2,-0.0194881,-0.449727,2.46686,2,-0.355042,-0.251511,2.78885,2,-0.591907,-0.493576,2.25535,2,-0.542207,-0.487364,2.26811,2,0.0394439,-0.514134,2.3452,2,0.107368,-0.511923,2.37231,2,
-0.568157,-0.464744,3.05802,2,-0.44352,-0.353444,2.91221,2,-0.320173,-0.231455,2.75936,2,-0.348286,-0.0944858,2.70357,2,-0.483548,-0.311304,2.73704,2,-0.606655,-0.419648,2.58023,2,-0.632598,-0.485829,2.37701,2,-0.619356,-0.517508,2.26934,2,-0.189572,-0.25923,2.76572,2,-0.0346709,-0.39348,2.68178,2,0.0534007,-0.470304,2.56127,2,0.0452202,-0.540322,2.36228,2,-0.629828,-0.469477,3.02119,2,-0.627032,-0.401361,2.62004,2,-0.654179,-0.557589,2.37831,2,-0.600435,-0.51364,2.25735,2,-0.495451,-0.45099,3.0355,2,-0.446062,-0.309758,2.65143,1,-0.0934165,-0.439378,2.55997,2,-0.0273524,-0.490552,2.4403,2,-0.35324,-0.258981,2.79327,2,-0.623237,-0.536836,2.24823,2,-0.582453,-0.503952,2.25231,2,0.0271214,-0.551789,2.33446,2,0.107464,-0.550308,2.3624,2,
-0.396881,-0.672179,2.93898,2,-0.358772,-0.470096,2.84625,2,-0.31983,-0.26192,2.74605,2,-0.347601,-0.124918,2.6972,2,-0.495125,-0.29801,2.73371,2,-0.598612,-0.445792,2.56767,2,-0.604155,-0.524439,2.336,2,-0.60906,-0.556294,2.26442,2,-0.18753,-0.270744,2.76047,2,-0.0141241,-0.414053,2.66813,2,0.0365304,-0.533811,2.49735,2,0.0329234,-0.582201,2.36018,2,-0.460869,-0.666973,2.89919,2,-0.580327,-0.938237,2.76414,2,-0.583086,-1.215,2.70609,2,-0.582247,-1.09884,2.61173,2,-0.325112,-0.664203,2.92113,2,-0.0441033,-0.375526,2.70903,2,0.00917039,-0.627037,2.58067,2,0.0259705,-0.59428,2.43138,2,-0.329709,-0.31939,2.77084,2,-0.624966,-0.575558,2.23594,2,-0.542559,-0.560127,2.26173,2,0.0193665,-0.597273,2.33156,2,0.102168,-0.58961,2.3608,2,
-0.378308,-0.618958,2.88577,2,-0.351199,-0.457127,2.82862,2,-0.318462,-0.272939,2.74607,2,-0.347576,-0.15823,2.67942,2,-0.503313,-0.308206,2.73003,2,-0.61749,-0.468037,2.58576,2,-0.65202,-0.566397,2.41124,2,-0.610249,-0.593211,2.26145,2,-0.192941,-0.287628,2.75297,2,-0.080353,-0.410408,2.68315,2,-0.0162732,-0.529966,2.48047,2,0.0206385,-0.617519,2.35644,2,-0.44265,-0.616854,2.84599,2,-0.601339,-0.406509,2.63268,2,-0.583301,-0.800218,2.67269,2,-0.567194,-0.858553,2.55852,2,-0.306161,-0.608291,2.86601,2,0.0119514,-0.521989,2.60746,2,-0.172919,-0.367114,2.76802,2,-0.127915,-0.427592,2.63933,2,-0.328741,-0.321222,2.77094,2,-0.591673,-0.60934,2.24159,2,-0.53863,-0.597497,2.25764,2,0.0300837,-0.632739,2.33277,2,0.0858999,-0.625223,2.3576,2,
-0.376912,-0.720807,2.91727,2,-0.352828,-0.511953,2.83026,2,-0.324984,-0.295328,2.73664,2,-0.347471,-0.164143,2.67154,2,-0.473267,-0.317172,2.72781,2,-0.58118,-0.496718,2.58033,2,-0.628632,-0.604511,2.36094,2,-0.612657,-0.626913,2.25762,2,-0.199227,-0.297567,2.75404,2,-0.0369669,-0.469875,2.65849,2,0.0344529,-0.589145,2.50424,2,0.0293955,-0.652855,2.35669,2,-0.441435,-0.716245,2.87878,2,-0.596781,-0.428912,2.63808,1,-0.576937,-0.835222,2.68873,2,-0.55866,-0.894428,2.57794,2,-0.304524,-0.71033,2.89489,2,-0.00565851,-0.46303,2.68498,2,0.0386818,-0.655035,2.4443,2,0.0476706,-0.659866,2.32476,2,-0.332781,-0.347174,2.76238,2,-0.601841,-0.646572,2.24016,2,-0.553683,-0.628733,2.25356,2,0.0146606,-0.665163,2.3241,2,0.103411,-0.658415,2.35523,2,
-0.468001,-0.726369,2.81355,2,-0.372668,-0.518789,2.77733,2,-0.277473,-0.312811,2.72944,2,-0.343622,-0.186953,2.66782,2,-0.469352,-0.351395,2.71454,2,-0.602288,-0.516836,2.56728,2,-0.610388,-0.626244,2.33263,2,-0.61016,-0.659829,2.26203,2,-0.154366,-0.439378,2.72817,2,-0.0013697,-0.515486,2.63836,2,0.0271527,-0.646864,2.47915,2,0.0264747,-0.682225,2.35569,2,-0.528734,-0.701114,2.7845,2,-0.529545,-0.371673,2.67747,2,-0.558572,-0.786893,2.70338,2,-0.554278,-0.834808,2.58181,2,-0.396995,-0.735697,2.7809,2,-0.0269823,-0.495325,2.68186,2,-0.0573932,-0.659047,2.41285,1,0.0120094,-0.687469,2.33398,2,-0.30738,-0.360928,2.74743,2,-0.601766,-0.674254,2.24111,2,-0.533494,-0.662775,2.26429,2,0.019437,-0.696584,2.32475,2,0.0967842,-0.689088,2.35123,2,
-0.419673,-0.624469,2.96321,2,-0.348693,-0.474337,2.84652,2,-0.277489,-0.316759,2.72648,2,-0.341002,-0.200259,2.65678,2,-0.470375,-0.374734,2.71099,2,-0.610257,-0.529652,2.56505,2,-0.631723,-0.663728,2.37721,2,-0.609169,-0.690788,2.2613,2,-0.0766707,-0.493351,2.70542,2,0.0557822,-0.570165,2.58968,2,0.035737,-0.681525,2.43712,2,0.0249,-0.710187,2.35136,2,-0.477639,-0.562622,2.90482,2,-0.538919,-0.33833,2.64455,2,-0.569063,-0.747359,2.70867,2,-0.580356,-0.819696,2.60183,2,-0.352725,-0.672876,2.95795,2,-0.0196283,-0.551865,2.66388,2,-0.0909255,-0.634028,2.36675,1,-0.00668742,-0.700157,2.33916,2,-0.304403,-0.361321,2.74957,2,-0.592254,-0.709285,2.24386,2,-0.533099,-0.690591,2.25933,2,0.00940266,-0.730702,2.32369,2,0.0911576,-0.71114,2.34669,2,
